Country,Year,Value,Indicator
Vanuatu,2012,2.95,Remittances
Fiji,2013,4.86,Remittances
French Polynesia,2013,,Remittances
Kiribati,2013,9.32,Remittances
Marshall Islands,2013,13.28,Remittances
Micronesia (Federated States of),2013,6.95,Remittances
Nauru,2013,10.85,Remittances
New Caledonia,2013,7.13,Remittances
Palau,2013,1.07,Remittances
Papua New Guinea,2013,0.07,Remittances
Samoa,2013,21.37,Remittances
Solomon Islands,2013,1.61,Remittances
Tonga,2013,27.22,Remittances
Tuvalu,2013,4.44,Remittances
Vanuatu,2013,3.13,Remittances
Fiji,2014,4.55,Remittances
French Polynesia,2014,,Remittances
Kiribati,2014,9.12,Remittances
Marshall Islands,2014,14.32,Remittances
Micronesia (Federated States of),2014,7.31,Remittances
Nauru,2014,11.33,Remittances
New Caledonia,2014,6.78,Remittances
Palau,2014,0.92,Remittances
Papua New Guinea,2014,0.05,Remittances
Samoa,2014,18.57,Remittances
Solomon Islands,2014,1.22,Remittances
Tonga,2014,27.12,Remittances
Tuvalu,2014,3.72,Remittances
Vanuatu,2014,8.3,Remittances
Fiji,2015,5.39,Remittances
French Polynesia,2015,12.9,Remittances
Kiribati,2015,8.21,Remittances
Marshall Islands,2015,14.87,Remittances
Micronesia (Federated States of),2015,7.37,Remittances
Nauru,2015,12.04,Remittances
New Caledonia,2015,7.01,Remittances
Palau,2015,0.81,Remittances
Papua New Guinea,2015,0.02,Remittances
Samoa,2015,16.65,Remittances
Solomon Islands,2015,1.42,Remittances
Tonga,2015,29.58,Remittances
Tuvalu,2015,2.91,Remittances
Vanuatu,2015,14.26,Remittances
Fiji,2016,5.52,Remittances
French Polynesia,2016,,Remittances
Kiribati,2016,9.14,Remittances
Marshall Islands,2016,14.06,Remittances
Micronesia (Federated States of),2016,7.02,Remittances
Nauru,2016,11.77,Remittances
New Caledonia,2016,7.12,Remittances
Palau,2016,0.79,Remittances
Papua New Guinea,2016,0.01,Remittances
Samoa,2016,16.36,Remittances
Solomon Islands,2016,1.47,Remittances
Tonga,2016,30.02,Remittances
Tuvalu,2016,2.52,Remittances
Vanuatu,2016,10.31,Remittances
Fiji,2017,5.21,Remittances
French Polynesia,2017,,Remittances
Kiribati,2017,9.59,Remittances
Marshall Islands,2017,14.28,Remittances
Micronesia (Federated States of),2017,6.37,Remittances
Nauru,2017,9.46,Remittances
New Caledonia,2017,6.77,Remittances
Palau,2017,0.76,Remittances
Papua New Guinea,2017,0.02,Remittances
Samoa,2017,16.31,Remittances
Solomon Islands,2017,1.1,Remittances
Tonga,2017,34.45,Remittances
Tuvalu,2017,2.48,Remittances
Vanuatu,2017,2.97,Remittances
Fiji,2018,5.23,Remittances
French Polynesia,2018,,Remittances
Kiribati,2018,9.98,Remittances
Marshall Islands,2018,14.19,Remittances
Micronesia (Federated States of),2018,5.81,Remittances
Nauru,2018,5.27,Remittances
New Caledonia,2018,6.31,Remittances
Palau,2018,0.76,Remittances
Papua New Guinea,2018,0.02,Remittances
Samoa,2018,17.97,Remittances
Solomon Islands,2018,1.26,Remittances
Tonga,2018,37.49,Remittances
Tuvalu,2018,2.25,Remittances
Vanuatu,2018,3.85,Remittances
Fiji,2019,5.37,Remittances
French Polynesia,2019,,Remittances
Kiribati,2019,10.66,Remittances
Marshall Islands,2019,13.13,Remittances
Micronesia (Federated States of),2019,5.72,Remittances
Nauru,2019,,Remittances
New Caledonia,2019,6.58,Remittances
Palau,2019,0.79,Remittances
Papua New Guinea,2019,0.01,Remittances
Samoa,2019,18.22,Remittances
Solomon Islands,2019,1.62,Remittances
Tonga,2019,37.16,Remittances
Tuvalu,2019,1.91,Remittances
Vanuatu,2019,8.03,Remittances
Fiji,2020,7.84,Remittances
French Polynesia,2020,,Remittances
Kiribati,2020,7.55,Remittances
Marshall Islands,2020,12.68,Remittances
Micronesia (Federated States of),2020,5.69,Remittances
Nauru,2020,,Remittances
New Caledonia,2020,,Remittances
Palau,2020,0.84,Remittances
Papua New Guinea,2020,0.01,Remittances
Samoa,2020,25.3,Remittances
Solomon Islands,2020,1.78,Remittances
Tonga,2020,38.98,Remittances
Tuvalu,2020,0.0,Remittances
Vanuatu,2020,9.92,Remittances
Fiji,2022,0.64,Rural access index
Federated States of Micronesia,2022,0.51,Rural access index
Guam,2022,0.95,Rural access index
Kiribati,2022,0.79,Rural access index
Northern Mariana Islands,2022,0.99,Rural access index
Niue,2022,0.94,Rural access index
Nauru,2022,1.0,Rural access index
Palau,2022,0.68,Rural access index
Papua New Guinea,2022,0.23,Rural access index
Solomon Islands,2022,0.24,Rural access index
Tonga,2022,0.89,Rural access index
Vanuatu,2022,0.51,Rural access index
Samoa,2022,0.67,Rural access index
Fiji,2014,,Score for adoption and implementation of disaster reduction strategies
Kiribati,2014,0.25,Score for adoption and implementation of disaster reduction strategies
Marshall Islands,2014,0.78,Score for adoption and implementation of disaster reduction strategies
Micronesia (Federated States of),2014,,Score for adoption and implementation of disaster reduction strategies
Nauru,2014,,Score for adoption and implementation of disaster reduction strategies
Palau,2014,,Score for adoption and implementation of disaster reduction strategies
Papua New Guinea,2014,,Score for adoption and implementation of disaster reduction strategies
Samoa,2014,,Score for adoption and implementation of disaster reduction strategies
Solomon Islands,2014,,Score for adoption and implementation of disaster reduction strategies
Tonga,2014,,Score for adoption and implementation of disaster reduction strategies
Tuvalu,2014,,Score for adoption and implementation of disaster reduction strategies
Vanuatu,2014,,Score for adoption and implementation of disaster reduction strategies
Fiji,2015,0.0,Score for adoption and implementation of disaster reduction strategies
Kiribati,2015,0.4,Score for adoption and implementation of disaster reduction strategies
Marshall Islands,2015,0.78,Score for adoption and implementation of disaster reduction strategies
Micronesia (Federated States of),2015,,Score for adoption and implementation of disaster reduction strategies
Nauru,2015,0.52,Score for adoption and implementation of disaster reduction strategies
Palau,2015,,Score for adoption and implementation of disaster reduction strategies
Papua New Guinea,2015,0.0,Score for adoption and implementation of disaster reduction strategies
Samoa,2015,,Score for adoption and implementation of disaster reduction strategies
Solomon Islands,2015,,Score for adoption and implementation of disaster reduction strategies
Tonga,2015,,Score for adoption and implementation of disaster reduction strategies
Tuvalu,2015,,Score for adoption and implementation of disaster reduction strategies
Vanuatu,2015,0.0,Score for adoption and implementation of disaster reduction strategies
Fiji,2016,0.0,Score for adoption and implementation of disaster reduction strategies
Kiribati,2016,0.4,Score for adoption and implementation of disaster reduction strategies
Marshall Islands,2016,0.78,Score for adoption and implementation of disaster reduction strategies
Micronesia (Federated States of),2016,0.5,Score for adoption and implementation of disaster reduction strategies
Nauru,2016,0.62,Score for adoption and implementation of disaster reduction strategies
Palau,2016,,Score for adoption and implementation of disaster reduction strategies
Papua New Guinea,2016,0.0,Score for adoption and implementation of disaster reduction strategies
Samoa,2016,,Score for adoption and implementation of disaster reduction strategies
Solomon Islands,2016,,Score for adoption and implementation of disaster reduction strategies
Tonga,2016,,Score for adoption and implementation of disaster reduction strategies
Tuvalu,2016,0.1,Score for adoption and implementation of disaster reduction strategies
Vanuatu,2016,0.25,Score for adoption and implementation of disaster reduction strategies
Fiji,2017,0.0,Score for adoption and implementation of disaster reduction strategies
Kiribati,2017,0.4,Score for adoption and implementation of disaster reduction strategies
Marshall Islands,2017,0.78,Score for adoption and implementation of disaster reduction strategies
Micronesia (Federated States of),2017,0.48,Score for adoption and implementation of disaster reduction strategies
Nauru,2017,0.55,Score for adoption and implementation of disaster reduction strategies
Palau,2017,,Score for adoption and implementation of disaster reduction strategies
Papua New Guinea,2017,0.8,Score for adoption and implementation of disaster reduction strategies
Samoa,2017,0.52,Score for adoption and implementation of disaster reduction strategies
Solomon Islands,2017,,Score for adoption and implementation of disaster reduction strategies
Tonga,2017,,Score for adoption and implementation of disaster reduction strategies
Tuvalu,2017,0.18,Score for adoption and implementation of disaster reduction strategies
Vanuatu,2017,0.12,Score for adoption and implementation of disaster reduction strategies
Fiji,2018,0.0,Score for adoption and implementation of disaster reduction strategies
Kiribati,2018,0.4,Score for adoption and implementation of disaster reduction strategies
Marshall Islands,2018,0.78,Score for adoption and implementation of disaster reduction strategies
Micronesia (Federated States of),2018,0.68,Score for adoption and implementation of disaster reduction strategies
Nauru,2018,0.55,Score for adoption and implementation of disaster reduction strategies
Palau,2018,0.0,Score for adoption and implementation of disaster reduction strategies
Papua New Guinea,2018,0.78,Score for adoption and implementation of disaster reduction strategies
Samoa,2018,0.68,Score for adoption and implementation of disaster reduction strategies
Solomon Islands,2018,,Score for adoption and implementation of disaster reduction strategies
Tonga,2018,,Score for adoption and implementation of disaster reduction strategies
Tuvalu,2018,0.18,Score for adoption and implementation of disaster reduction strategies
Vanuatu,2018,0.05,Score for adoption and implementation of disaster reduction strategies
Fiji,2019,0.95,Score for adoption and implementation of disaster reduction strategies
Kiribati,2019,0.9,Score for adoption and implementation of disaster reduction strategies
Marshall Islands,2019,0.0,Score for adoption and implementation of disaster reduction strategies
Micronesia (Federated States of),2019,0.65,Score for adoption and implementation of disaster reduction strategies
Nauru,2019,0.55,Score for adoption and implementation of disaster reduction strategies
Palau,2019,,Score for adoption and implementation of disaster reduction strategies
Papua New Guinea,2019,0.78,Score for adoption and implementation of disaster reduction strategies
Samoa,2019,0.7,Score for adoption and implementation of disaster reduction strategies
Solomon Islands,2019,0.05,Score for adoption and implementation of disaster reduction strategies
Tonga,2019,0.28,Score for adoption and implementation of disaster reduction strategies
Tuvalu,2019,0.25,Score for adoption and implementation of disaster reduction strategies
Vanuatu,2019,0.22,Score for adoption and implementation of disaster reduction strategies
Fiji,2020,0.98,Score for adoption and implementation of disaster reduction strategies
Kiribati,2020,0.92,Score for adoption and implementation of disaster reduction strategies
Marshall Islands,2020,0.0,Score for adoption and implementation of disaster reduction strategies
Micronesia (Federated States of),2020,0.57,Score for adoption and implementation of disaster reduction strategies
Nauru,2020,0.6,Score for adoption and implementation of disaster reduction strategies
Palau,2020,0.72,Score for adoption and implementation of disaster reduction strategies
Papua New Guinea,2020,0.78,Score for adoption and implementation of disaster reduction strategies
Samoa,2020,0.72,Score for adoption and implementation of disaster reduction strategies
Solomon Islands,2020,0.78,Score for adoption and implementation of disaster reduction strategies
Tonga,2020,0.48,Score for adoption and implementation of disaster reduction strategies
Tuvalu,2020,0.3,Score for adoption and implementation of disaster reduction strategies
Vanuatu,2020,0.65,Score for adoption and implementation of disaster reduction strategies
American Samoa,2000,6.01,Unemployment rate
Cook Islands,2000,,Unemployment rate
Fiji,2000,,Unemployment rate
French Polynesia,2000,,Unemployment rate
Guam,2000,15.32,Unemployment rate
Kiribati,2000,,Unemployment rate
Marshall Islands,2000,,Unemployment rate
Micronesia (Federated States of),2000,,Unemployment rate
Nauru,2000,,Unemployment rate
New Caledonia,2000,,Unemployment rate
Niue,2000,,Unemployment rate
Northern Mariana Islands,2000,4.38,Unemployment rate
Palau,2000,10.63,Unemployment rate
Papua New Guinea,2000,5.27,Unemployment rate
Samoa,2000,,Unemployment rate
Solomon Islands,2000,,Unemployment rate
Tonga,2000,,Unemployment rate
Tuvalu,2000,,Unemployment rate
Vanuatu,2000,,Unemployment rate
Wallis and Futuna,2000,,Unemployment rate
American Samoa,2001,,Unemployment rate
Cook Islands,2001,14.84,Unemployment rate
Fiji,2001,,Unemployment rate
French Polynesia,2001,,Unemployment rate
Guam,2001,13.21,Unemployment rate
Kiribati,2001,,Unemployment rate
Marshall Islands,2001,,Unemployment rate
Micronesia (Federated States of),2001,,Unemployment rate
Nauru,2001,,Unemployment rate
New Caledonia,2001,,Unemployment rate
Niue,2001,10.26,Unemployment rate
Northern Mariana Islands,2001,,Unemployment rate
Palau,2001,,Unemployment rate
Papua New Guinea,2001,,Unemployment rate
Samoa,2001,15.46,Unemployment rate
Solomon Islands,2001,,Unemployment rate
Tonga,2001,,Unemployment rate
Tuvalu,2001,,Unemployment rate
Vanuatu,2001,,Unemployment rate
Wallis and Futuna,2001,,Unemployment rate
American Samoa,2002,,Unemployment rate
Cook Islands,2002,,Unemployment rate
Fiji,2002,,Unemployment rate
French Polynesia,2002,39.13,Unemployment rate
Guam,2002,29.14,Unemployment rate
Kiribati,2002,,Unemployment rate
Marshall Islands,2002,,Unemployment rate
Micronesia (Federated States of),2002,,Unemployment rate
Nauru,2002,46.1,Unemployment rate
New Caledonia,2002,,Unemployment rate
Niue,2002,,Unemployment rate
Northern Mariana Islands,2002,,Unemployment rate
Palau,2002,,Unemployment rate
Papua New Guinea,2002,,Unemployment rate
Samoa,2002,,Unemployment rate
Solomon Islands,2002,,Unemployment rate
Tonga,2002,,Unemployment rate
Tuvalu,2002,8.58,Unemployment rate
Vanuatu,2002,,Unemployment rate
Wallis and Futuna,2002,,Unemployment rate
American Samoa,2003,,Unemployment rate
Cook Islands,2003,,Unemployment rate
Fiji,2003,8.22,Unemployment rate
French Polynesia,2003,,Unemployment rate
Guam,2003,,Unemployment rate
Kiribati,2003,,Unemployment rate
Marshall Islands,2003,,Unemployment rate
Micronesia (Federated States of),2003,,Unemployment rate
Nauru,2003,,Unemployment rate
New Caledonia,2003,,Unemployment rate
Niue,2003,,Unemployment rate
Northern Mariana Islands,2003,11.23,Unemployment rate
Palau,2003,,Unemployment rate
Papua New Guinea,2003,,Unemployment rate
Samoa,2003,,Unemployment rate
Solomon Islands,2003,,Unemployment rate
Tonga,2003,7.41,Unemployment rate
Tuvalu,2003,,Unemployment rate
Vanuatu,2003,,Unemployment rate
Wallis and Futuna,2003,,Unemployment rate
American Samoa,2004,,Unemployment rate
Cook Islands,2004,,Unemployment rate
Fiji,2004,6.0,Unemployment rate
French Polynesia,2004,,Unemployment rate
Guam,2004,7.7,Unemployment rate
Kiribati,2004,,Unemployment rate
Marshall Islands,2004,,Unemployment rate
Micronesia (Federated States of),2004,,Unemployment rate
Nauru,2004,,Unemployment rate
New Caledonia,2004,16.31,Unemployment rate
Niue,2004,,Unemployment rate
Northern Mariana Islands,2004,,Unemployment rate
Palau,2004,,Unemployment rate
Papua New Guinea,2004,,Unemployment rate
Samoa,2004,,Unemployment rate
Solomon Islands,2004,,Unemployment rate
Tonga,2004,,Unemployment rate
Tuvalu,2004,,Unemployment rate
Vanuatu,2004,,Unemployment rate
Wallis and Futuna,2004,,Unemployment rate
American Samoa,2005,9.98,Unemployment rate
Cook Islands,2005,,Unemployment rate
Fiji,2005,16.0,Unemployment rate
French Polynesia,2005,,Unemployment rate
Guam,2005,7.7,Unemployment rate
Kiribati,2005,41.61,Unemployment rate
Marshall Islands,2005,25.37,Unemployment rate
Micronesia (Federated States of),2005,,Unemployment rate
Nauru,2005,,Unemployment rate
New Caledonia,2005,,Unemployment rate
